"name","created_date","giai_dac_biet","giai_nhat","giai_nhi","giai_ba_1","giai_ba_2","giai_tu_1","giai_tu_2","giai_tu_3","giai_tu_4","giai_tu_5","giai_tu_6","giai_tu_7","giai_nam","giai_sau_1","giai_sau_2","giai_sau_3","giai_bay","giai_tam"
NinhThuan,2016/05/20,35081,66413,70133,10923,74257,39904,35155,95206,88390,27426,94090,10106,0365,3816,6510,0607,682,82
NinhThuan,2016/05/13,07301,84136,33739,85596,76545,56458,46615,79424,21822,78133,51541,28335,2869,0212,9496,6348,913,66
NinhThuan,2016/05/06,06378,34214,61406,00706,47539,58966,46929,41052,48324,70355,86469,00496,7363,8426,7788,9580,197,87
NinhThuan,2016/04/29,91639,94926,45293,99880,91127,12897,01587,94435,54302,80052,52090,08389,8248,6764,3573,8828,775,90
NinhThuan,2016/04/22,24357,15055,03177,43837,71537,61422,46846,31994,47994,15912,82305,40133,7951,7352,2266,7856,488,70
NinhThuan,2016/04/15,68281,76105,86705,83358,18848,35407,17993,93093,25603,81892,62527,27466,5414,9901,2990,9180,059,21
NinhThuan,2016/04/08,48763,36783,13562,92340,59386,84332,87361,04824,41329,90654,31528,01879,8543,3246,0849,3160,688,20
NinhThuan,2016/04/01,92909,99450,79024,44089,30149,85043,61099,22617,01516,76127,64025,51714,7172,9598,0492,0439,051,80
NinhThuan,2016/03/25,034221,99783,08063,24068,48768,49074,08795,02556,02997,48704,36427,65537,4184,6347,7420,5316,846,97
NinhThuan,2016/03/18,979806,33540,43951,77585,47785,28090,98116,51696,49168,02182,66028,36987,3884,9255,4165,3213,285,38
NinhThuan,2016/03/11,840140,95002,98834,87021,60164,78802,23273,31114,16075,87577,96239,61210,2885,2070,6648,8575,184,65
NinhThuan,2016/03/04,357088,06817,34255,76833,21072,88113,89977,10023,16562,82560,09165,33481,1332,9298,6423,6464,745,79
NinhThuan,2016/02/26,554129,60961,88848,09971,58548,24181,77859,56557,99750,26759,44434,10087,6470,1587,0581,6816,196,10
NinhThuan,2016/02/19,027190,97676,30445,35280,22201,60403,76008,11899,80432,67994,61936,04073,6357,6289,2843,4555,254,23
NinhThuan,2016/02/12,652379,90946,52870,61890,85061,26927,26226,19595,59064,85675,22503,72006,4469,7728,5032,9873,823,95
NinhThuan,2016/02/05,145417,68760,26519,76327,51532,22926,25797,70722,00073,90901,53480,85004,2056,4651,5034,6606,969,08
NinhThuan,2016/01/29,746641,95170,05958,40588,98437,84375,83705,19407,87636,74926,62068,58490,0476,9300,0061,1641,885,95
NinhThuan,2016/01/22,652198,32570,04406,05914,85161,00697,58398,18777,82438,98948,81471,41306,9872,0237,9957,7581,403,66
NinhThuan,2016/01/15,934195,63028,82351,82111,51280,86611,70901,11687,69981,90071,64945,04492,2665,6028,6513,2095,577,26
NinhThuan,2016/01/08,076623,73620,42437,23962,56620,71971,99881,38732,62209,48433,28848,05500,0315,0466,8893,3767,982,42
NinhThuan,2016/01/01,313894,36807,27961,79628,16901,78281,75407,60182,83904,86718,58078,70634,5997,5539,8200,6544,709,90
NinhThuan,2015/12/25,365290,33930,50841,67140,43273,52850,85486,73763,73607,64831,48378,63705,4973,3226,3778,7643,067,40
NinhThuan,2015/12/18,661587,45517,63812,61319,41273,79604,62816,64338,11262,23539,25738,86047,6405,1194,7990,1078,381,62
NinhThuan,2015/12/11,454474,80997,90102,04669,07652,83361,18447,15173,94226,75827,37805,07897,9845,8328,5187,7067,064,14
NinhThuan,2015/12/04,492504,02156,31209,54951,93866,71963,18889,45369,93800,78201,13751,97505,2389,4579,5461,6179,934,95
NinhThuan,2015/11/27,589060,42899,20947,78216,34808,95491,79057,68846,64287,33565,98117,14468,3283,1597,1669,8588,971,17
NinhThuan,2015/11/20,151335,97742,68816,31259,55880,31275,48685,68772,14364,39463,67659,66482,3582,2582,8788,5707,031,15
NinhThuan,2015/11/13,962503,17842,34892,57807,35819,52689,13371,76562,77343,49693,15858,36402,5095,3638,0939,3035,522,14
NinhThuan,2015/11/06,78966,07046,43725,42440,27991,89331,45742,94038,07894,21924,96835,95838,8084,6972,3084,1658,007,70
NinhThuan,2015/10/30,29190,87557,44776,20718,87077,22272,28297,10956,72491,35682,47819,53594,2803,0643,2199,2917,919,81
NinhThuan,2015/10/23,08407,11614,86611,99334,08328,76510,88988,45748,61837,33788,67107,99127,0792,5873,1777,1283,056,67
NinhThuan,2015/10/16,71445,78630,34151,60032,39162,00271,26587,27148,36901,31428,59420,55527,3551,4451,8925,8858,119,13
